body_name,category,side,mirror_of,components,mass_kg,inertia_reference_mass_kg,com_x_m,com_y_m,com_z_m,inertia_quat_w,inertia_quat_x,inertia_quat_y,inertia_quat_z,principal_i1_kg_m2,principal_i2_kg_m2,principal_i3_kg_m2,property_mode,mass_source,com_source,inertia_source,confidence,status,notes
link_013,left_gas_spring,left,,left gas-spring endpoint body; physical subdivision and mass unverified,0.00022249231,0.00022249231,3.5097968e-09,1.3745365e-09,-0.0076999969,1,0,0,0,1e-08,1e-08,1e-08,uniform_mass_scale,geometry-derived placeholder; user reports no gas-spring mass was supplied,existing exact-mesh geometry calculation; not independently verified,existing exact-mesh geometry calculation at inertia_reference_mass_kg,D,PROVISIONAL,Do not treat current gas-spring mass as physical evidence.
link_003,left_links,left,,left active link B assembly; omitted fasteners and moving bearings pending,0.014,0.014,-0.013750144,-0.0086053748,0.0051026116,0.95476232,-0.00082331343,0.0018096997,0.29736334,8.1373094e-07,5.4510139e-06,6.2085423e-06,uniform_mass_scale,SolidWorks-assigned mass from existing export; user reports approximate physical agreement,existing exact-mesh geometry calculation; not independently verified,existing exact-mesh geometry calculation at inertia_reference_mass_kg,B,BASELINE,Missing moving fasteners/bearings are not claimed as zero and may be lumped here later.
link_004,left_links,left,,left passive closure link; omitted fasteners and bearings pending,0.006,0.006,0.019845961,-0.022550464,-0.0014999969,0.92621212,0,0,0.3770028,2.8064644e-06,8.4666035e-08,2.8821304e-06,uniform_mass_scale,SolidWorks-assigned mass from existing export; user reports approximate physical agreement,existing exact-mesh geometry calculation; not independently verified,existing exact-mesh geometry calculation at inertia_reference_mass_kg,B,BASELINE,Missing moving fasteners/bearings are not claimed as zero and may be lumped here later.
link_014,right_links,right,link_002,right active link A assembly; omitted fasteners and moving bearings pending,,,0.043355873,0.027890749,-0.002351379,0.96005319,-0.0057525511,-0.0053518473,0.27970722,,,,mirror,derived from mirror_of,existing exact-mesh geometry calculation; not independently verified,derived mirrored principal moments; local mirrored frame retained,B,BASELINE,Missing moving fasteners/bearings are not claimed as zero and may be lumped here later.
link_017,right_links,right,link_005,right passive link assembly; omitted fasteners and bearings pending,,,-0.0086987905,0.0056228986,-0.0059453564,0.94761075,-0.0023155297,0.014721406,0.31907958,,,,mirror,derived from mirror_of,existing exact-mesh geometry calculation; not independently verified,derived mirrored principal moments; local mirrored frame retained,B,BASELINE,Missing moving fasteners/bearings are not claimed as zero and may be lumped here later.
link_019,right_links,right,link_007,right passive link; omitted fasteners and bearings pending,,,0.025983961,0.0150738,-0.0014999985,0.95865809,0,0,0.28456049,,,,mirror,derived from mirror_of,existing exact-mesh geometry calculation; not independently verified,derived mirrored principal moments; local mirrored frame retained,B,BASELINE,Missing moving fasteners/bearings are not claimed as zero and may be lumped here later.
link_021,right_links,right,link_008,right lightweight closure axle/end body,,,-1.6983999e-10,-1.0368893e-10,-0.00302412,1,0,0,0,,,,mirror,derived from mirror_of,existing exact-mesh geometry calculation; not independently verified,derived mirrored principal moments; local mirrored frame retained,C,ESTIMATED,Retained as a small positive physical estimate; no separate weighing required.
link_020,right_links,right,link_009,right lower link and wheel carrier; omitted fasteners and bearings pending,,,-0.044881355,0.044738748,-0.006514451,0.93100646,-8.9174364e-05,0.00055309824,0.36500228,,,,mirror,derived from mirror_of,existing exact-mesh geometry calculation; not independently verified,derived mirrored principal moments; local mirrored frame retained,B,BASELINE,Missing moving fasteners/bearings are not claimed as zero and may be lumped here later.
link_025,right_wheel,right,link_010,right wheel; hub motor; tire assembly represented by current CAD mass,,,-5.644982e-10,-5.174013e-10,-0.019571861,0.92610546,-6.6227602e-09,5.0848299e-09,0.37726473,,,,mirror,derived from mirror_of,existing exact-mesh geometry calculation; not independently verified,derived mirrored principal moments; local mirrored frame retained,B,BASELINE,Missing moving fasteners/bearings are not claimed as zero and may be lumped here later.
link_022,right_gas_spring,right,link_011,right gas-spring sub-body 1; physical subdivision and mass unverified,,,0.0097741539,0.012096557,-0.0013500001,0.94282022,0,0,-0.33330173,,,,mirror,derived from mirror_of,existing exact-mesh geometry calculation; not independently verified,derived mirrored principal moments; local mirrored frame retained,D,PROVISIONAL,Do not treat current gas-spring mass as physical evidence.
link_023,right_gas_spring,right,link_012,right gas-spring sub-body 2 with slide; physical subdivision and mass unverified,,,0,6.0886668e-10,0.027778318,1,0,0,0,,,,mirror,derived from mirror_of,existing exact-mesh geometry calculation; not independently verified,derived mirrored principal moments; local mirrored frame retained,D,PROVISIONAL,Do not treat current gas-spring mass as physical evidence.
link_024,right_gas_spring,right,link_013,right gas-spring endpoint body; physical subdivision and mass unverified,,,3.509788e-09,-1.374538e-09,-0.0077000008,1,0,0,0,,,,mirror,derived from mirror_of,existing exact-mesh geometry calculation; not independently verified,derived mirrored principal moments; local mirrored frame retained,D,PROVISIONAL,Do not treat current gas-spring mass as physical evidence.
link_015,right_links,right,link_003,right active link B assembly; omitted fasteners and moving bearings pending,,,-0.013750144,0.0086053748,0.0051026154,0.95476232,0.00082331345,0.0018096997,-0.29736334,,,,mirror,derived from mirror_of,existing exact-mesh geometry calculation; not independently verified,derived mirrored principal moments; local mirrored frame retained,B,BASELINE,Missing moving fasteners/bearings are not claimed as zero and may be lumped here later.
link_016,right_links,right,link_004,right passive closure link; omitted fasteners and bearings pending,,,0.019845961,0.022550464,0.0014999992,0.92621212,0,0,-0.3770028,,,,mirror,derived from mirror_of,existing exact-mesh geometry calculation; not independently verified,derived mirrored principal moments; local mirrored frame retained,B,BASELINE,Missing moving fasteners/bearings are not claimed as zero and may be lumped here later.
link_018,right_links,right,link_006,right lightweight closure axle/end body,,,0,0,-0.0076241207,1,0,0,0,,,,mirror,derived from mirror_of,existing exact-mesh geometry calculation; not independently verified,derived mirrored principal moments; local mirrored frame retained,C,ESTIMATED,Retained as a small positive physical estimate; no separate weighing required.
